identifiers: ID,identifiers: URI (JONAS),identifiers: URI (Mirabile),identifiers: URI (Pinakes),identifiers: URI (VIAF),identifiers: other ref(s),identifiers: other URI(s),title: uniform,title: variant,title: ms,title: normalised,author: name,author: ID,author: affiliation,translator: name,translator: ID,translator: affiliation,language: text lang(s),language: main,language: other,incipit: incipit,subjects: list,subjects: URI(s),subjects: theology,subjects: documents,subjects: bible,subjects: literature,subjects: science,subjects: liturgy,subjects: history,subjects: law,subjects: philosophy,subjects: hagiography,subjects: medicine,subjects: christian literature,subjects: sermons,subjects: classical literature,subjects: monasticism and religious orders,subjects: grammar,subjects: clergy,subjects: rhetoric,subjects: geography,subjects: natural history,subjects: politics and government,subjects: music,subjects: indexes,subjects: conduct,subjects: heraldry,subjects: magic,subjects: bibliography,subjects: recreation,bibliography: repertory/ies,bibliography: repertory URI(s),bibliography: edition(s),bibliography: edition URI(s),bibliography: other bibl(s),bibliography: note(s)
work_749,,,,,,,"Augustine, Saint, Bishop of Hippo: De beata uita [Latin]",de beata vita,,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 254,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=254,"CCSL 29 (1970), pp. 65–85; PL 32.959–976",,,
work_750,,,,,,,"Augustine, Saint, Bishop of Hippo: De bono coniugali [Latin]",de bono conjugali,,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 299,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=299,"PL 40. 373–96; CSEL 41 (1900), pp. 185–231",,,
work_751,,,,,,,"Augustine, Saint, Bishop of Hippo: De bono uiduitatis [Latin]",de bono viduitatis,,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 301,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=301,"PL 40. 431–50; ed. J. Zycha, CSEL 41 (1900) 305–43",,,
work_752,,,,,,,"Augustine, Saint, Bishop of Hippo: De ciuitate dei [Italian]",de civitate dei,,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,it,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
work_753,,,,,,,"Augustine, Saint, Bishop of Hippo: De ciuitate dei [Latin]",de civitate dei,,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 313,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=313,CCSL 47–8 (1955),,,
work_754,,,,,,,"Augustine, Saint, Bishop of Hippo: De consensu euangelistarum [Latin]",de consensu evangelistarum,,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 273,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=273,CSEL 43 (1904),,,
work_756,,http://www.mirabileweb.it/title/de-continentia-augustinus-aurelius-title/16460,,,,,"Augustine, Saint, Bishop of Hippo: De continentia [Latin]",,de continentia,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 298,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=298,PL 40.349–72,,,
work_757,,,,,,,"Augustine, Saint, Bishop of Hippo: De correptione et gratia [Latin]",,de correptione et gratia,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 353,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=353,PL 44. 915–46; CSEL 92 (2000) 219–80,,,
work_758,,,,,,,"Augustine, Saint, Bishop of Hippo: De cura pro mortuis gerenda [Latin]",,de cura pro mortuis gerenda,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 307,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=307,"CSEL 41 (1900), pp. 619–60",,,
work_759,,,,,,,"Augustine, Saint, Bishop of Hippo, pseudo: De diligendo deo (tr.) [Middle English]",,de diligendo deo,,"Augustine, Saint, Bishop of Hippo, pseudo",person_7386286,,,,,,enm,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
work_760,,http://www.mirabileweb.it/title/sermo-de-disciplina-christiana-augustinus-aurelius-title/125925,,,,,"Augustine, Saint, Bishop of Hippo: De disciplina christiana [Latin]",sermo de disciplina christiana; de disciplina Christianorum,,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 310,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=310,"CCSL 46 (1969), pp. 205–24",,,
work_761,,,,,,,"Augustine, Saint, Bishop of Hippo: De diuersis quaestionibus ad Simplicianum [Latin]",de diversis questionibus ad simplicianum,,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 290,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=290,CCSL 44 (1970),,,
work_762,,,,,,,"Augustine, Saint, Bishop of Hippo: De doctrina christiana [Latin]",,de doctrina christiana,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 263,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=263,"CCSL 32 (1962), pp. 1–167",,,
work_763,,,,,,,"Augustine, Saint, Bishop of Hippo: De fide et operibus [Latin]",,de fide et operibus,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 294,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=294,,,,
work_764,,,,,,,"Augustine, Saint, Bishop of Hippo: De Genesi ad litteram [Latin]",,,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 266,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=266,CSEL 28/1 (1894),,,
work_765,,,,,,,"Augustine, Saint, Bishop of Hippo: De gratia noui testamenti contra Honoratum (ep. 140) [Latin]",de gratia novi testamenti contra honoratum (epist. 140),,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PL 33. 538–77,,"CSEL 44 (1904), pp. 155–234",,,
work_766,,,,,,,"Augustine, Saint, Bishop of Hippo: De gratia et libero arbitrio [Latin]",,,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 352,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=352,PL 44. 881–912,,,
work_767,,,,,,,"Augustine, Saint, Bishop of Hippo: De immortalitate animae [Latin]",,de immortalitate animae,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 256,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=256,"CSEL 89 (1986), pp. 99–128",,,
work_768,,,,,,,"Augustine, Saint, Bishop of Hippo: De libero arbitrio [Latin]",unde malum,,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 260,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=260,"PL 32.1221–; CCSL 29 (1970), pp. 205–321",,,
