metadata: origin UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: origin,overview: additions,locus: locus,locus: from,locus: to,orig date: date,orig date: when,orig date: not before,orig date: not after,orig date: certainty,orig date: calendar,orig place: place,orig place: country,orig place: country ID,orig place: country lat,orig place: country long,orig place: region,orig place: region ID,orig place: region lat,orig place: region long,orig place: settlement,orig place: settlement ID,orig place: settlement lat,orig place: settlement long,orig org: org,orig org: org ID,orig org: org lat,orig org: org long,add date: date,add date: when,add date: not before,add date: not after,add date: certainty,add date: calendar,add place: place,add place: country,add place: country ID,add place: country lat,add place: country long,add place: region,add place: region ID,add place: region lat,add place: region long,add place: settlement,add place: settlement ID,add place: settlement lat,add place: settlement long,add org: org,add org: org ID,add org: org lat,add org: org long,bibliography: bibl(s),bibliography: ref(s),bibliography: ref ID(s),bibliography: note(s)
MS_Laud_Misc_141_origin_1,manuscript_6951,Laud_Misc,MS_Laud_Misc_141,MS. Laud Misc. 141,manuscript,,MS_Laud_Misc_141,"8th century, late – 9th century, early (fols 1r–44r), and 9th century, first half (fols. 44r–155v) Germany, Lorsch, Benedictine abbey",,,,,"8th century, late – 9th century, early (fols 1r–44r), and 9th century, first half (fols. 44r–155v)",,790,850,,Gregorian,"Germany, Lorsch, Benedictine abbey",Germany,place_7000084,51.5,10.5,,,,,,,,,"Lorsch, Benedictine abbey",org_143763943,49.65364153,8.569858137,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_142_origin_1,manuscript_6952,Laud_Misc,MS_Laud_Misc_142,MS. Laud Misc. 142,manuscript-composite,,MS_Laud_Misc_142,"Northern France s. xivin (Judging by parchment, script and style.)",,,,,s. xivin,,1300,1310,,Gregorian,Northern France,France,place_1000070,46.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Judging by parchment, script and style.)"
MS_Laud_Misc_142_origin_2,manuscript_6952,Laud_Misc,MS_Laud_Misc_142,MS. Laud Misc. 142,part,,MS_Laud_Misc_113-part1,(Southern?) France s. xiii2,,,,,s. xiii2,,1250,1300,,Gregorian,(Southern?) France,France,place_1000070,46.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_143_origin_1,manuscript_6953,Laud_Misc,MS_Laud_Misc_143,MS. Laud Misc. 143,manuscript-composite,,MS_Laud_Misc_143,"12th century, end German, Eberbach, Cistercian abbey (?)",,,,,"12th century, end",,1190,1200,,Gregorian,"German, Eberbach, Cistercian abbey (?)",German,place_7000084,51.5,10.5,,,,,,,,,"Eberbach, Cistercian abbey",org_133214228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_143_origin_2,manuscript_6953,Laud_Misc,MS_Laud_Misc_143,MS. Laud Misc. 143,part,,MS_Laud_Misc_143-part1,"14th century, second half or 15th century, first half",,,,,"14th century, second half or 15th century, first half",,1350,1450,,Gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_144_origin_1,manuscript_6954,Laud_Misc,MS_Laud_Misc_144,MS. Laud Misc. 144,manuscript,,MS_Laud_Misc_144,"12th century, end German, Cistercian abbey of Eberbach (?)",,,,,"12th century, end",,1190,1200,,Gregorian,"German, Cistercian abbey of Eberbach (?)",German,place_7000084,51.5,10.5,,,,,,,,,Cistercian abbey of Eberbach,org_133214228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_145_origin_1,manuscript_6955,Laud_Misc,MS_Laud_Misc_145,MS. Laud Misc. 145,manuscript,,MS_Laud_Misc_145,"13th century, middle English",,,,,"13th century, middle",,1240,1260,,Gregorian,English,English,place_7002445,53.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_146_origin_1,manuscript_6956,Laud_Misc,MS_Laud_Misc_146,MS. Laud Misc. 146,manuscript,,MS_Laud_Misc_146,"15th century, first half Germany",,,,,"15th century, first half",,1400,1450,,Gregorian,Germany,Germany,place_7000084,51.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_147_origin_1,manuscript_6957,Laud_Misc,MS_Laud_Misc_147,MS. Laud Misc. 147,manuscript,,MS_Laud_Misc_147,"12th century, first half or middle German, West",,,,,"12th century, first half or middle",,1100,1160,,Gregorian,"German, West",German,place_7000084,51.5,10.5,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_148_origin_1,manuscript_6958,Laud_Misc,MS_Laud_Misc_148,MS. Laud Misc. 148,manuscript,,MS_Laud_Misc_148,"9th century, first half German, South, area of Regensburg, perhaps Weltenburg Abbey (?) (Bischoff 3847)",,,,,"9th century, first half",,800,850,,Gregorian,"German, South, area of Regensburg, perhaps Weltenburg Abbey (?) (Bischoff 3847)",German,place_7000084,51.5,10.5,South,,,,Regensburg,place_7013496,49.015,12.095556,Weltenburg Abbey,org_140754787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
